DATEPRD,WELL_BORE_CODE,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
8/9/2014,NO 15/9-F-1 C,210.55,108.28,170.40,,49.95,40.15,58.14,11.61,493.37,73656.88,289.96
8/10/2014,NO 15/9-F-1 C,210.63,108.28,170.86,,50.24,39.77,56.23,11.22,509.21,76002.49,303.18
8/11/2014,NO 15/9-F-1 C,213.45,108.17,176.10,,49.44,37.35,50.72,8.75,351.80,52975.29,240.50
8/12/2014,NO 15/9-F-1 C,215.51,108.14,178.41,,48.83,37.09,44.27,8.48,287.03,44830.19,240.33
8/13/2014,NO 15/9-F-1 C,215.90,108.16,178.00,,48.58,37.89,50.89,9.29,278.58,44300.38,235.04
8/14/2014,NO 15/9-F-1 C,215.86,108.19,177.02,,48.50,38.83,56.83,10.25,297.19,47071.12,248.98
8/15/2014,NO 15/9-F-1 C,215.78,108.20,176.23,,48.47,39.54,57.33,10.98,297.33,46462.15,247.88
8/16/2014,NO 15/9-F-1 C,216.00,108.20,176.64,,48.48,39.37,52.85,10.80,296.20,44219.40,246.54
8/17/2014,NO 15/9-F-1 C,216.02,108.21,176.18,,48.47,39.84,53.76,11.26,296.12,44243.43,247.16
8/18/2014,NO 15/9-F-1 C,216.08,108.22,176.08,,48.45,40.00,57.06,11.43,293.35,44083.13,246.91
8/19/2014,NO 15/9-F-1 C,217.07,108.22,176.48,,15.61,40.59,56.85,12.72,0.00,0.00,0.00
8/20/2014,NO 15/9-F-1 C,242.94,103.65,242.38,,0.52,0.57,15.36,0.57,0.00,0.00,0.00
8/21/2014,NO 15/9-F-1 C,234.11,104.13,233.52,,0.54,0.59,19.30,0.59,0.00,0.00,0.00
8/22/2014,NO 15/9-F-1 C,234.11,104.13,233.52,,0.54,0.59,19.30,0.59,0.00,0.00,0.00
8/23/2014,NO 15/9-F-1 C,234.11,104.13,233.52,,0.54,0.59,19.30,0.59,0.00,0.00,0.00
8/24/2014,NO 15/9-F-1 C,234.11,104.13,233.52,,0.54,0.59,19.30,0.59,0.00,0.00,0.00
8/25/2014,NO 15/9-F-1 C,266.29,101.81,205.79,,0.51,60.50,21.19,60.50,0.00,0.00,0.00
8/26/2014,NO 15/9-F-1 C,268.53,101.25,188.69,,0.53,79.84,18.68,79.84,0.00,0.00,0.00
8/27/2014,NO 15/9-F-1 C,271.10,101.21,190.03,,0.52,81.06,18.27,81.06,0.00,0.00,0.00
8/28/2014,NO 15/9-F-1 C,266.15,98.06,184.24,,0.51,81.91,17.43,81.91,0.00,0.00,0.00
8/29/2014,NO 15/9-F-1 C,276.54,101.18,195.21,,0.49,81.32,15.93,81.32,0.00,0.00,0.00
8/30/2014,NO 15/9-F-1 C,279.00,101.13,196.74,,0.48,82.27,15.53,82.27,0.00,0.00,0.00
8/31/2014,NO 15/9-F-1 C,281.01,101.03,207.12,,0.49,73.89,16.73,73.89,0.00,0.00,0.00
9/1/2014,NO 15/9-F-1 C,282.92,100.95,232.02,,0.51,50.90,15.53,50.89,0.00,0.00,0.00
9/2/2014,NO 15/9-F-1 C,284.44,100.74,243.64,,3.73,40.80,20.77,35.65,0.00,0.00,0.00
9/3/2014,NO 15/9-F-1 C,248.02,106.95,205.83,,40.67,42.19,46.49,13.35,103.77,16925.68,74.34
9/4/2014,NO 15/9-F-1 C,237.29,107.37,208.80,,61.09,28.49,53.78,2.37,290.30,46375.59,537.45
9/5/2014,NO 15/9-F-1 C,223.51,108.49,184.59,,53.05,38.92,66.29,10.31,427.63,69487.31,343.53
9/6/2014,NO 15/9-F-1 C,225.25,108.44,181.59,,49.89,43.66,64.89,15.08,422.69,68818.15,341.93
9/7/2014,NO 15/9-F-1 C,225.94,108.43,181.00,,49.63,44.94,60.69,16.37,412.14,67226.27,336.66
9/8/2014,NO 15/9-F-1 C,224.93,108.44,179.58,,49.47,45.35,62.91,16.79,410.96,66847.20,336.99
9/9/2014,NO 15/9-F-1 C,224.68,108.41,179.14,,49.47,45.54,61.99,16.99,409.11,66355.28,333.87
9/10/2014,NO 15/9-F-1 C,224.65,108.39,179.22,,48.70,45.44,62.49,16.90,389.68,63293.20,315.24
9/11/2014,NO 15/9-F-1 C,225.96,108.34,180.90,,48.65,45.06,57.54,16.52,380.29,60994.93,327.07
9/12/2014,NO 15/9-F-1 C,225.61,108.33,180.73,,48.62,44.88,56.71,16.34,391.22,57081.97,324.73
9/13/2014,NO 15/9-F-1 C,225.30,108.32,180.80,,48.65,44.50,58.73,15.96,391.65,57123.13,328.60
9/14/2014,NO 15/9-F-1 C,225.15,108.32,181.19,,48.62,43.96,60.82,15.41,384.47,56615.33,322.53
9/15/2014,NO 15/9-F-1 C,224.94,108.31,181.30,,48.62,43.65,59.24,15.09,342.35,50991.05,291.45
9/16/2014,NO 15/9-F-1 C,224.81,108.30,181.51,,48.63,43.29,58.17,14.62,338.88,50946.90,291.36
9/17/2014,NO 15/9-F-1 C,224.63,108.30,181.71,,48.64,42.91,58.46,14.32,344.50,51928.13,297.38
9/18/2014,NO 15/9-F-1 C,224.55,108.29,181.97,,48.64,42.58,58.86,14.01,333.55,49757.91,304.70
9/19/2014,NO 15/9-F-1 C,224.56,108.28,182.30,,48.60,42.26,59.27,13.69,329.60,49601.74,302.29
9/20/2014,NO 15/9-F-1 C,221.86,108.33,179.49,,49.15,42.38,60.53,13.81,358.20,53618.20,320.36
9/21/2014,NO 15/9-F-1 C,219.56,108.39,177.67,,49.40,41.89,61.65,13.34,377.72,56786.58,332.75
9/22/2014,NO 15/9-F-1 C,219.89,108.36,178.45,,49.30,41.44,61.08,12.88,356.65,53587.32,331.96
9/23/2014,NO 15/9-F-1 C,219.72,108.35,178.64,,49.19,41.07,58.68,12.50,354.31,53315.98,327.97
9/24/2014,NO 15/9-F-1 C,219.83,108.35,179.38,,49.16,40.46,58.96,11.88,338.53,51384.99,318.34
9/25/2014,NO 15/9-F-1 C,220.01,108.34,180.00,,49.13,40.01,55.70,11.42,324.90,49352.26,323.50
9/26/2014,NO 15/9-F-1 C,219.97,108.33,180.19,,49.14,39.77,54.61,11.19,324.95,49388.31,321.98
9/27/2014,NO 15/9-F-1 C,219.90,108.33,180.23,,49.13,39.67,53.28,11.09,322.07,49245.80,322.83
9/28/2014,NO 15/9-F-1 C,220.04,108.32,180.67,,49.01,39.37,53.81,10.85,308.31,47050.78,307.78
9/29/2014,NO 15/9-F-1 C,243.07,105.07,238.82,,6.59,4.26,28.17,0.28,0.00,0.00,0.00
9/30/2014,NO 15/9-F-1 C,241.92,105.53,199.36,,14.41,42.56,27.73,22.40,0.00,0.00,0.00
10/1/2014,NO 15/9-F-1 C,226.03,107.48,217.96,,53.67,8.08,52.41,2.64,55.20,8962.05,142.03
10/2/2014,NO 15/9-F-1 C,211.87,108.50,180.98,,58.43,30.89,58.72,4.51,199.07,31730.64,308.22
10/3/2014,NO 15/9-F-1 C,221.14,108.40,186.14,,51.87,35.00,51.46,5.62,275.22,43000.78,454.65
10/4/2014,NO 15/9-F-1 C,219.88,108.43,183.17,,50.90,36.71,57.58,8.10,287.64,44101.37,459.80
10/5/2014,NO 15/9-F-1 C,219.47,108.44,181.85,,50.55,37.62,57.28,8.98,323.18,49500.61,352.61
10/6/2014,NO 15/9-F-1 C,220.90,108.40,183.04,,50.21,37.86,57.76,9.25,315.32,48232.88,344.36
10/7/2014,NO 15/9-F-1 C,220.65,108.40,182.44,,50.43,38.22,55.12,9.60,322.31,48180.54,335.27
10/8/2014,NO 15/9-F-1 C,220.67,108.40,182.39,,50.49,38.28,53.30,9.67,320.34,49975.21,345.30
10/9/2014,NO 15/9-F-1 C,220.47,108.40,182.14,,50.45,38.33,53.20,9.70,325.92,50479.21,343.83
10/10/2014,NO 15/9-F-1 C,220.18,108.39,181.80,,50.41,38.38,53.77,9.77,329.20,50894.03,327.28
10/11/2014,NO 15/9-F-1 C,220.16,108.39,181.93,,50.40,38.22,52.71,9.62,325.01,50157.65,326.37
10/12/2014,NO 15/9-F-1 C,220.15,108.38,182.07,,50.38,38.08,56.23,9.48,323.37,49865.05,325.88
10/13/2014,NO 15/9-F-1 C,220.33,108.37,182.51,,50.36,37.81,60.76,9.21,320.68,49604.00,335.92
10/14/2014,NO 15/9-F-1 C,220.44,108.37,182.79,,50.36,37.65,60.45,9.05,320.41,49571.91,337.83
10/15/2014,NO 15/9-F-1 C,220.22,108.37,182.55,,50.47,37.67,60.62,9.06,322.67,49750.14,335.65
10/16/2014,NO 15/9-F-1 C,220.01,108.37,182.43,,50.56,37.58,59.25,8.98,322.40,49652.61,331.77
10/17/2014,NO 15/9-F-1 C,220.21,108.36,182.85,,50.56,37.36,59.52,8.76,321.25,49635.23,330.51
10/18/2014,NO 15/9-F-1 C,220.23,108.36,182.91,,50.48,37.32,54.29,8.70,321.22,49749.37,328.68
10/19/2014,NO 15/9-F-1 C,220.22,108.36,183.09,,50.52,37.13,50.17,8.51,323.37,50070.67,328.82
10/20/2014,NO 15/9-F-1 C,220.72,108.35,184.36,,50.86,36.36,56.09,7.73,326.54,50700.18,334.76
10/21/2014,NO 15/9-F-1 C,220.41,108.35,183.59,,50.91,36.82,55.69,8.18,316.21,48561.88,329.90
10/22/2014,NO 15/9-F-1 C,220.62,108.35,183.94,,50.85,36.68,55.69,8.06,314.23,48495.35,335.34
10/23/2014,NO 15/9-F-1 C,220.62,108.34,183.89,,50.82,36.73,49.99,8.11,313.92,48623.42,329.60
10/24/2014,NO 15/9-F-1 C,220.75,108.34,184.09,,50.77,36.65,50.37,8.03,314.24,48608.64,332.00
10/25/2014,NO 15/9-F-1 C,220.86,108.34,184.27,,50.78,36.59,48.38,7.96,317.47,49209.26,333.76
10/26/2014,NO 15/9-F-1 C,220.96,108.34,184.40,,50.80,36.55,47.29,7.92,333.14,51384.55,336.05
10/27/2014,NO 15/9-F-1 C,219.96,108.36,182.97,,50.78,37.00,53.30,8.44,318.20,49190.87,332.65
10/28/2014,NO 15/9-F-1 C,219.96,108.36,183.30,,50.50,36.67,53.39,8.21,315.14,48598.96,325.35
10/29/2014,NO 15/9-F-1 C,220.72,108.35,184.64,,50.50,36.08,59.32,7.61,304.36,46729.01,320.20
10/30/2014,NO 15/9-F-1 C,221.12,108.33,185.25,,51.04,35.87,57.80,7.25,318.25,48777.45,330.73
10/31/2014,NO 15/9-F-1 C,219.50,108.37,182.65,,51.31,36.84,58.46,8.23,322.58,50070.47,329.75
11/1/2014,NO 15/9-F-1 C,219.79,108.36,183.33,,50.92,36.46,51.98,7.83,316.54,49047.96,323.66
11/2/2014,NO 15/9-F-1 C,220.07,108.35,183.84,,50.91,36.23,50.97,7.59,321.29,49771.51,329.74
11/3/2014,NO 15/9-F-1 C,220.34,108.35,184.32,,50.93,36.03,54.66,7.38,295.17,45685.50,328.45
11/4/2014,NO 15/9-F-1 C,220.49,108.34,184.59,,50.89,35.89,58.74,7.24,290.68,45093.92,304.68
11/5/2014,NO 15/9-F-1 C,221.79,108.30,186.69,,51.13,35.10,58.08,6.45,288.26,44831.92,306.52
11/6/2014,NO 15/9-F-1 C,221.69,108.29,186.54,,51.64,35.14,54.92,6.49,292.13,45409.59,310.29
