,WELL_BORE_CODE,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,FLOW_KIND,WELL_TYPE
5804,NO 15/9-F-14 H,248.16,106.77,76.69,46.51,92.77,12.96,2800.79,399978.92,3351.18,production,OP
5805,NO 15/9-F-14 H,249.36,106.76,66.78,47.68,93.04,14.16,2696.27,386090.76,3162.89,production,OP
5806,NO 15/9-F-14 H,249.64,106.76,65.26,47.86,92.98,14.36,2676.08,382028.25,3139.95,production,OP
5807,NO 15/9-F-14 H,249.52,106.75,65.9,47.7,93.03,14.2,2678.05,382530.29,2962.48,production,OP
5808,NO 15/9-F-14 H,249.54,106.75,66.16,47.62,93.11,14.12,2676.31,374324.71,3077.46,production,OP
5809,NO 15/9-F-14 H,249.54,106.75,66.15,47.83,93.01,14.32,2625.55,374541.53,3194.64,production,OP
5810,NO 15/9-F-14 H,249.58,106.75,66.27,47.89,92.26,14.4,2612.81,373944.07,3311.37,production,OP
5811,NO 15/9-F-14 H,249.6,106.75,66.29,47.91,92.9,14.42,2623.48,374702.75,2951.56,production,OP
5812,NO 15/9-F-14 H,250.0,106.74,64.46,48.17,93.0,14.72,2597.55,371658.0,3446.49,production,OP
5813,NO 15/9-F-14 H,250.38,106.73,62.25,49.05,93.0,15.63,2534.0,362746.4,3521.41,production,OP
5814,NO 15/9-F-14 H,250.97,106.72,60.23,50.0,92.81,16.61,2486.32,356111.93,3385.78,production,OP
5815,NO 15/9-F-14 H,251.06,106.72,60.12,50.45,92.88,17.05,2495.41,357432.08,3428.13,production,OP
5816,NO 15/9-F-14 H,251.19,106.72,60.31,49.84,92.43,16.44,2489.74,357146.72,3365.68,production,OP
5817,NO 15/9-F-14 H,255.8,106.65,51.98,54.7,90.78,21.16,1957.44,283896.95,2711.91,production,OP
5818,NO 15/9-F-14 H,250.71,106.71,60.55,49.48,92.56,16.29,2452.14,350053.6,3554.23,production,OP
5819,NO 15/9-F-14 H,250.93,106.71,59.85,49.56,92.96,16.38,2444.37,348878.74,3525.34,production,OP
5820,NO 15/9-F-14 H,251.02,106.71,59.68,49.48,92.7,16.45,2427.99,347999.53,3489.24,production,OP
5821,NO 15/9-F-14 H,251.08,106.71,59.82,49.38,91.81,16.24,2422.22,347806.75,3496.94,production,OP
5822,NO 15/9-F-14 H,250.91,106.7,59.65,49.61,92.65,16.44,2423.79,343279.56,3496.33,production,OP
5823,NO 15/9-F-14 H,250.77,106.69,59.64,49.35,92.95,16.18,2396.54,344715.38,3386.38,production,OP
5824,NO 15/9-F-14 H,250.9,106.69,59.72,49.86,93.06,16.71,2395.14,342561.46,3395.83,production,OP
5825,NO 15/9-F-14 H,250.91,106.69,59.63,49.9,92.32,16.77,2387.86,343058.41,3390.72,production,OP
5826,NO 15/9-F-14 H,251.07,106.69,59.6,50.67,91.92,17.53,2380.72,342371.26,3396.15,production,OP
5827,NO 15/9-F-14 H,251.2,106.69,59.76,50.3,92.53,17.15,2379.63,342137.65,3366.91,production,OP
5828,NO 15/9-F-14 H,251.29,106.68,59.74,50.43,93.13,17.28,2375.2,340709.26,3395.81,production,OP
